Category: All categories

Week,bitcoin: (United States)
2018-03-25,100
2018-04-01,100
2018-04-08,88
2018-04-15,79
2018-04-22,84
2018-04-29,69
2018-05-06,71
2018-05-13,63
2018-05-20,63
2018-05-27,59
2018-06-03,51
2018-06-10,79
2018-06-17,62
2018-06-24,69
2018-07-01,57
2018-07-08,53
2018-07-15,64
2018-07-22,70
2018-07-29,60
2018-08-05,65
2018-08-12,65
2018-08-19,55
2018-08-26,51
2018-09-02,57
2018-09-09,50
2018-09-16,45
2018-09-23,42
2018-09-30,38
2018-10-07,41
2018-10-14,39
2018-10-21,35
2018-10-28,36
2018-11-04,36
2018-11-11,48
2018-11-18,73
2018-11-25,75
2018-12-02,63
2018-12-09,59
2018-12-16,63
2018-12-23,53
2018-12-30,42
2019-01-06,43
2019-01-13,37
2019-01-20,35
2019-01-27,33
2019-02-03,38
2019-02-10,33
2019-02-17,39
2019-02-24,39
2019-03-03,34
2019-03-10,32
2019-03-17,30
